"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Average journey time (mins)","2022","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","18.8"
"Average journey time (mins)","2022","Male","Not stated","Students at school or college aged 19 years and over","Number","41"
"Average journey time (mins)","2022","Male","All means of travel","All persons","Number","26.7"
"Average journey time (mins)","2022","Male","All means of travel","Population aged 15 years and over at work","Number","31.2"
"Average journey time (mins)","2022","Male","All means of travel","Children at school aged between 5 and 12 years","Number","12.2"
"Average journey time (mins)","2022","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","19.3"
"Average journey time (mins)","2022","Male","All means of travel","Students at school or college aged 19 years and over","Number","36.9"
"Average journey time (mins)","2022","Female","On foot","All persons","Number","15.1"
"Average journey time (mins)","2022","Female","On foot","Population aged 15 years and over at work","Number","17.1"
"Average journey time (mins)","2022","Female","On foot","Children at school aged between 5 and 12 years","Number","11.1"
"Average journey time (mins)","2022","Female","On foot","Students at school or college aged between 13 and 18 years","Number","15"
"Average journey time (mins)","2022","Female","On foot","Students at school or college aged 19 years and over","Number","17.9"
"Average journey time (mins)","2022","Female","Bicycle","All persons","Number","20.3"
"Average journey time (mins)","2022","Female","Bicycle","Population aged 15 years and over at work","Number","22.5"
"Average journey time (mins)","2022","Female","Bicycle","Children at school aged between 5 and 12 years","Number","12.9"
"Average journey time (mins)","2022","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","17.2"
"Average journey time (mins)","2022","Female","Bicycle","Students at school or college aged 19 years and over","Number","21.2"
"Average journey time (mins)","2022","Female","Bus, minibus or coach","All persons","Number","37.4"
"Average journey time (mins)","2022","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","44.1"
"Average journey time (mins)","2022","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","20.1"
"Average journey time (mins)","2022","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","29.5"
"Average journey time (mins)","2022","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","51.9"
"Average journey time (mins)","2022","Female","Train, DART or LUAS","All persons","Number","51.6"
"Average journey time (mins)","2022","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","51.3"
"Average journey time (mins)","2022","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","31.5"
"Average journey time (mins)","2022","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","40.3"
"Average journey time (mins)","2022","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","58.7"
"Average journey time (mins)","2022","Female","Motorcycle or scooter","All persons","Number","24.7"
"Average journey time (mins)","2022","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","23.9"
"Average journey time (mins)","2022","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Average journey time (mins)","2022","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","17.7"
"Average journey time (mins)","2022","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","34"
"Average journey time (mins)","2022","Female","Motor car: Driver","All persons","Number","26.4"
"Average journey time (mins)","2022","Female","Motor car: Driver","Population aged 15 years and over at work","Number","26"
"Average journey time (mins)","2022","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Average journey time (mins)","2022","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","19.2"
"Average journey time (mins)","2022","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","35.6"
"Average journey time (mins)","2022","Female","Motor car: Passenger","All persons","Number","14.2"
"Average journey time (mins)","2022","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","19.8"
"Average journey time (mins)","2022","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","11.2"
"Average journey time (mins)","2022","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","15.1"
"Average journey time (mins)","2022","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","29.2"
"Average journey time (mins)","2022","Female","Van","All persons","Number","28.2"
"Average journey time (mins)","2022","Female","Van","Population aged 15 years and over at work","Number","31.7"
"Average journey time (mins)","2022","Female","Van","Children at school aged between 5 and 12 years","Number","11.5"
"Average journey time (mins)","2022","Female","Van","Students at school or college aged between 13 and 18 years","Number","16"
"Average journey time (mins)","2022","Female","Van","Students at school or college aged 19 years and over","Number","50.3"
"Average journey time (mins)","2022","Female","Other, incl. lorry","All persons","Number","28"
"Average journey time (mins)","2022","Female","Other, incl. lorry","Population aged 15 years and over at work","Number","31.5"
"Average journey time (mins)","2022","Female","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","13.2"
"Average journey time (mins)","2022","Female","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","26.3"
"Average journey time (mins)","2022","Female","Other, incl. lorry","Students at school or college aged 19 years and over","Number","38.6"
"Average journey time (mins)","2022","Female","Not stated","All persons","Number","19.8"
"Average journey time (mins)","2022","Female","Not stated","Population aged 15 years and over at work","Number","29.1"
"Average journey time (mins)","2022","Female","Not stated","Children at school aged between 5 and 12 years","Number","12.9"
"Average journey time (mins)","2022","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","18.7"
